Year;CustomerID;CustomerType;Region;ExposureAmount
2005;1000;RETAIL;SWEDEN; 196 264    
2005;1001;CORPORATE;SWEDEN; 939 969    
2005;1002;CORPORATE;SWEDEN; 473 188    
2005;1003;CORPORATE;SWEDEN; 529 849    
2005;1004;RETAIL;SWEDEN; 31 998    
2005;1005;RETAIL;SWEDEN; 480 836    
2005;1006;RETAIL;SWEDEN; 352 630    
2005;1007;CORPORATE;SWEDEN; 476 287    
2005;1008;CORPORATE;SWEDEN; 320 097    
2005;1009;RETAIL;INTERNATIONAL; 485 489    
2005;1010;RETAIL;SWEDEN; 400 246    
2005;1011;CORPORATE;SWEDEN; 981 929    
2005;1012;RETAIL;INTERNATIONAL; 217 205    
2005;1013;CORPORATE;SWEDEN; 224 395    
2005;1014;RETAIL;SWEDEN; 416 251    
2005;1015;CORPORATE;SWEDEN; 778 809    
2005;1016;CORPORATE;SWEDEN; 313 786    
2005;1017;CORPORATE;SWEDEN; 741 522    
2005;1018;RETAIL;SWEDEN; 190 615    
2005;1019;CORPORATE;SWEDEN; 223 780    
2005;1020;RETAIL;SWEDEN; 77 723    
2005;1021;RETAIL;SWEDEN; 34 774    
2005;1022;RETAIL;SWEDEN; 441 550    
2005;1023;CORPORATE;SWEDEN; 529 800    
2005;1024;CORPORATE;SWEDEN; 465 531    
2005;1025;CORPORATE;SWEDEN; 452 042    
2005;1026;RETAIL;SWEDEN; 288 226    
2005;1027;CORPORATE;INTERNATIONAL; 875 662    
2005;1028;CORPORATE;SWEDEN; 677 650    
2005;1029;CORPORATE;SWEDEN; 654 219    
2005;1030;CORPORATE;SWEDEN; 578 515    
2005;1031;CORPORATE;INTERNATIONAL; 271 970    
2005;1032;CORPORATE;SWEDEN; 836 577    
2005;1033;CORPORATE;SWEDEN; 214 005    
2005;1034;RETAIL;SWEDEN; 306 025    
2005;1035;CORPORATE;INTERNATIONAL; 624 048    
2005;1036;RETAIL;SWEDEN; 117 562    
2005;1037;RETAIL;INTERNATIONAL; 174 159    
2005;1038;RETAIL;SWEDEN; 113 182    
2005;1039;CORPORATE;SWEDEN; 202 240    
2005;1040;RETAIL;SWEDEN; 452 801    
2005;1041;CORPORATE;SWEDEN; 429 701    
2005;1042;RETAIL;SWEDEN; 475 168    
2005;1043;RETAIL;SWEDEN; 63 080    
2005;1044;RETAIL;INTERNATIONAL; 457 392    
2005;1045;RETAIL;SWEDEN; 196 918    
2005;1046;CORPORATE;SWEDEN; 230 010    
2005;1047;CORPORATE;SWEDEN; 917 691    
2005;1048;RETAIL;SWEDEN; 57 725    
2005;1049;CORPORATE;SWEDEN; 432 067    
2005;1050;RETAIL;SWEDEN; 288 231    
2005;1051;CORPORATE;SWEDEN; 576 526    
2005;1052;CORPORATE;INTERNATIONAL; 302 843    
2005;1053;CORPORATE;SWEDEN; 228 910    
2005;1054;CORPORATE;SWEDEN; 708 898    
2005;1055;CORPORATE;SWEDEN; 293 741    
2005;1056;CORPORATE;SWEDEN; 864 976    
2005;1057;RETAIL;INTERNATIONAL; 411 224    
2005;1058;CORPORATE;INTERNATIONAL; 225 693    
2005;1059;CORPORATE;SWEDEN; 508 460    
2005;1060;RETAIL;SWEDEN; 470 090    
2005;1061;RETAIL;SWEDEN; 113 553    
2005;1062;CORPORATE;SWEDEN; 815 561    
2005;1063;RETAIL;INTERNATIONAL; 387 705    
2005;1064;RETAIL;INTERNATIONAL; 467 336    
2005;1065;CORPORATE;SWEDEN; 713 097    
2005;1066;RETAIL;INTERNATIONAL; 459 664    
2005;1067;CORPORATE;SWEDEN; 885 079    
2005;1068;RETAIL;INTERNATIONAL; 461 784    
2005;1069;RETAIL;SWEDEN; 72 540    
2005;1070;CORPORATE;INTERNATIONAL; 840 665    
2005;1071;RETAIL;SWEDEN; 471 862    
2005;1072;CORPORATE;SWEDEN; 926 634    
2005;1073;RETAIL;SWEDEN; 95 236    
2005;1074;RETAIL;INTERNATIONAL; 27 665    
2005;1075;CORPORATE;SWEDEN; 616 250    
2005;1076;CORPORATE;SWEDEN; 593 226    
2005;1077;CORPORATE;SWEDEN; 301 034    
2005;1078;RETAIL;SWEDEN; 230 578    
2005;1079;RETAIL;SWEDEN; 271 993    
2005;1080;RETAIL;SWEDEN; 337 708    
2005;1081;RETAIL;SWEDEN; 212 285    
2005;1082;CORPORATE;INTERNATIONAL; 417 568    
2005;1083;CORPORATE;SWEDEN; 258 323    
2005;1084;CORPORATE;SWEDEN; 931 675    
2005;1085;RETAIL;SWEDEN; 350 398    
2005;1086;CORPORATE;INTERNATIONAL; 367 803    
2005;1087;CORPORATE;SWEDEN; 309 835    
2005;1088;CORPORATE;SWEDEN; 774 776    
2005;1089;CORPORATE;SWEDEN; 658 541    
2005;1090;CORPORATE;INTERNATIONAL; 519 407    
2005;1091;CORPORATE;SWEDEN; 249 635    
2005;1092;RETAIL;INTERNATIONAL; 180 833    
2005;1093;RETAIL;INTERNATIONAL; 257 553    
2005;1094;CORPORATE;INTERNATIONAL; 746 406    
2005;1095;RETAIL;SWEDEN; 334 367    
2005;1096;RETAIL;SWEDEN; 460 378    
2005;1097;RETAIL;SWEDEN; 41 997    
2005;1098;CORPORATE;SWEDEN; 274 804    
2005;1099;RETAIL;INTERNATIONAL; 96 787    
2005;1100;RETAIL;SWEDEN; 435 517    
2005;1101;CORPORATE;INTERNATIONAL; 651 311    
2005;1102;CORPORATE;SWEDEN; 787 641    
2005;1103;CORPORATE;SWEDEN; 393 140    
2005;1104;RETAIL;SWEDEN; 336 647    
2005;1105;CORPORATE;SWEDEN; 579 023    
2005;1106;RETAIL;SWEDEN; 75 471    
2005;1107;CORPORATE;SWEDEN; 230 303    
2005;1108;RETAIL;SWEDEN; 77 748    
2005;1109;RETAIL;SWEDEN; 72 089    
2005;1110;RETAIL;SWEDEN; 424 161    
2005;1111;RETAIL;SWEDEN; 459 036    
2005;1112;RETAIL;SWEDEN; 378 959    
2005;1113;CORPORATE;INTERNATIONAL; 535 012    
2005;1114;CORPORATE;SWEDEN; 430 852    
2005;1115;CORPORATE;INTERNATIONAL; 222 251    
2005;1116;CORPORATE;SWEDEN; 586 107    
2005;1117;RETAIL;SWEDEN; 400 790    
2005;1118;CORPORATE;SWEDEN; 879 143    
2005;1119;CORPORATE;SWEDEN; 763 943    
2005;1120;CORPORATE;SWEDEN; 724 303    
2005;1121;CORPORATE;SWEDEN; 770 130    
2005;1122;CORPORATE;SWEDEN; 410 303    
2005;1123;RETAIL;INTERNATIONAL; 177 374    
2005;1124;RETAIL;SWEDEN; 409 009    
2005;1125;RETAIL;SWEDEN; 464 824    
2005;1126;CORPORATE;SWEDEN; 846 606    
2005;1127;CORPORATE;SWEDEN; 578 442    
2005;1128;CORPORATE;SWEDEN; 483 403    
2005;1129;CORPORATE;SWEDEN; 769 724    
2005;1130;CORPORATE;SWEDEN; 565 084    
2005;1131;RETAIL;INTERNATIONAL; 283 210    
2005;1132;RETAIL;SWEDEN; 85 305    
2005;1133;RETAIL;SWEDEN; 47 066    
2005;1134;RETAIL;SWEDEN; 373 845    
2005;1135;CORPORATE;INTERNATIONAL; 419 466    
2005;1136;RETAIL;SWEDEN; 123 952    
2005;1137;RETAIL;SWEDEN; 73 205    
2005;1138;CORPORATE;SWEDEN; 358 706    
2005;1139;CORPORATE;INTERNATIONAL; 946 458    
2005;1140;CORPORATE;SWEDEN; 823 749    
2005;1141;RETAIL;SWEDEN; 460 921    
2005;1142;CORPORATE;SWEDEN; 689 467    
2005;1143;CORPORATE;SWEDEN; 247 530    
2005;1144;RETAIL;SWEDEN; 78 762    
2005;1145;RETAIL;INTERNATIONAL; 222 373    
2005;1146;RETAIL;SWEDEN; 269 972    
2005;1147;RETAIL;SWEDEN; 158 166    
2005;1148;RETAIL;SWEDEN; 297 239    
2005;1149;RETAIL;SWEDEN; 305 969    
2005;1150;RETAIL;INTERNATIONAL; 411 827    
2005;1151;CORPORATE;SWEDEN; 270 277    
2005;1152;RETAIL;SWEDEN; 270 720    
2005;1153;CORPORATE;INTERNATIONAL; 472 039    
2005;1154;CORPORATE;SWEDEN; 670 615    
2005;1155;RETAIL;SWEDEN; 479 666    
2005;1156;CORPORATE;SWEDEN; 355 656    
2005;1157;CORPORATE;SWEDEN; 562 299    
2005;1158;RETAIL;SWEDEN; 221 237    
2005;1159;CORPORATE;SWEDEN; 279 824    
2005;1160;RETAIL;SWEDEN; 222 535    
2005;1161;CORPORATE;SWEDEN; 933 717    
2005;1162;CORPORATE;SWEDEN; 869 409    
2005;1163;CORPORATE;INTERNATIONAL; 429 877    
2005;1164;RETAIL;SWEDEN; 267 162    
2005;1165;CORPORATE;INTERNATIONAL; 825 777    
2005;1166;CORPORATE;SWEDEN; 347 955    
2005;1167;CORPORATE;SWEDEN; 217 492    
2005;1168;RETAIL;INTERNATIONAL; 323 153    
2005;1169;RETAIL;SWEDEN; 241 289    
2005;1170;CORPORATE;SWEDEN; 860 940    
2005;1171;CORPORATE;SWEDEN; 361 986    
2005;1172;RETAIL;SWEDEN; 92 727    
2005;1173;RETAIL;SWEDEN; 311 058    
2005;1174;CORPORATE;INTERNATIONAL; 653 898    
2005;1175;CORPORATE;SWEDEN; 819 941    
2005;1176;CORPORATE;INTERNATIONAL; 375 637    
2005;1177;RETAIL;SWEDEN; 253 400    
2005;1178;RETAIL;SWEDEN; 336 209    
2005;1179;RETAIL;SWEDEN; 35 202    
2005;1180;RETAIL;SWEDEN; 423 270    
2005;1181;RETAIL;INTERNATIONAL; 380 090    
2005;1182;CORPORATE;INTERNATIONAL; 830 707    
2005;1183;CORPORATE;SWEDEN; 517 115    
2005;1184;CORPORATE;INTERNATIONAL; 747 891    
2005;1185;RETAIL;SWEDEN; 401 124    
2005;1186;RETAIL;SWEDEN; 320 538    
2005;1187;CORPORATE;INTERNATIONAL; 499 442    
2005;1188;CORPORATE;SWEDEN; 575 081    
2005;1189;CORPORATE;SWEDEN; 215 645    
2005;1190;CORPORATE;INTERNATIONAL; 524 698    
2005;1191;RETAIL;SWEDEN; 206 997    
2005;1192;RETAIL;SWEDEN; 493 452    
2005;1193;RETAIL;SWEDEN; 485 407    
2005;1194;CORPORATE;SWEDEN; 253 504    
2005;1195;RETAIL;SWEDEN; 353 916    
2005;1196;RETAIL;SWEDEN; 252 056    
2005;1197;RETAIL;SWEDEN; 158 008    
2005;1198;CORPORATE;SWEDEN; 708 544    
2005;1199;CORPORATE;SWEDEN; 619 528    
2005;1200;CORPORATE;INTERNATIONAL; 670 179    
2006;1201;RETAIL;INTERNATIONAL; 439 515    
2006;1202;RETAIL;SWEDEN; 150 450    
2006;1203;CORPORATE;SWEDEN; 698 523    
2006;1204;CORPORATE;SWEDEN; 266 787    
2006;1205;RETAIL;SWEDEN; 282 195    
2006;1206;RETAIL;SWEDEN; 136 953    
2006;1207;CORPORATE;INTERNATIONAL; 461 757    
2006;1208;RETAIL;SWEDEN; 13 948    
2006;1209;RETAIL;SWEDEN; 271 482    
2006;1210;RETAIL;SWEDEN; 274 984    
2006;1211;RETAIL;SWEDEN; 33 347    
2006;1212;CORPORATE;INTERNATIONAL; 633 836    
2006;1213;CORPORATE;SWEDEN; 293 752    
2006;1214;CORPORATE;INTERNATIONAL; 410 857    
2006;1215;CORPORATE;SWEDEN; 339 830    
2006;1216;RETAIL;SWEDEN; 185 607    
2006;1217;CORPORATE;SWEDEN; 526 562    
2006;1218;CORPORATE;SWEDEN; 980 294    
2006;1219;CORPORATE;SWEDEN; 321 096    
2006;1220;CORPORATE;SWEDEN; 775 116    
2006;1221;RETAIL;SWEDEN; 106 888    
2006;1222;RETAIL;SWEDEN; 160 768    
2006;1223;RETAIL;SWEDEN; 439 108    
2006;1224;RETAIL;SWEDEN; 428 754    
2006;1225;RETAIL;SWEDEN; 445 303    
2006;1226;RETAIL;INTERNATIONAL; 390 766    
2006;1227;CORPORATE;INTERNATIONAL; 420 648    
2006;1228;RETAIL;INTERNATIONAL; 390 595    
2006;1229;RETAIL;INTERNATIONAL; 480 616    
2006;1230;RETAIL;SWEDEN; 270 291    
2006;1231;CORPORATE;SWEDEN; 700 252    
2006;1232;CORPORATE;SWEDEN; 479 844    
2006;1233;RETAIL;SWEDEN; 410 220    
2006;1234;RETAIL;SWEDEN; 227 621    
2006;1235;RETAIL;SWEDEN; 331 830    
2006;1236;RETAIL;SWEDEN; 152 582    
2006;1237;RETAIL;INTERNATIONAL; 443 498    
2006;1238;CORPORATE;SWEDEN; 422 346    
2006;1239;RETAIL;SWEDEN; 229 658    
2006;1240;RETAIL;SWEDEN; 411 241    
2006;1241;RETAIL;SWEDEN; 50 905    
2006;1242;RETAIL;INTERNATIONAL; 380 408    
2006;1243;RETAIL;INTERNATIONAL; 90 575    
2006;1244;CORPORATE;SWEDEN; 871 538    
2006;1245;RETAIL;SWEDEN; 185 212    
2006;1246;RETAIL;SWEDEN; 92 156    
2006;1247;RETAIL;SWEDEN; 313 746    
2006;1248;RETAIL;SWEDEN; 207 379    
2006;1249;RETAIL;SWEDEN; 426 251    
2006;1250;RETAIL;SWEDEN; 397 288    
2006;1251;CORPORATE;SWEDEN; 371 522    
2006;1252;CORPORATE;INTERNATIONAL; 698 232    
2006;1253;RETAIL;SWEDEN; 350 151    
2006;1254;RETAIL;INTERNATIONAL; 178 300    
2006;1255;RETAIL;SWEDEN; 320 332    
2006;1256;RETAIL;INTERNATIONAL; 263 079    
2006;1257;CORPORATE;INTERNATIONAL; 754 413    
2006;1258;RETAIL;SWEDEN; 363 817    
2006;1259;RETAIL;INTERNATIONAL; 402 755    
2006;1260;CORPORATE;SWEDEN; 749 221    
2006;1261;RETAIL;SWEDEN; 273 104    
2006;1262;CORPORATE;SWEDEN; 742 514    
2006;1263;CORPORATE;INTERNATIONAL; 380 428    
2006;1264;CORPORATE;SWEDEN; 905 163    
2006;1265;CORPORATE;SWEDEN; 754 166    
2006;1266;RETAIL;SWEDEN; 281 868    
2006;1267;RETAIL;SWEDEN; 209 082    
2006;1268;CORPORATE;SWEDEN; 349 558    
2006;1269;CORPORATE;SWEDEN; 953 624    
2006;1270;RETAIL;INTERNATIONAL; 68 734    
2006;1271;CORPORATE;INTERNATIONAL; 270 389    
2006;1272;RETAIL;SWEDEN; 484 257    
2006;1273;CORPORATE;SWEDEN; 347 428    
2006;1274;RETAIL;SWEDEN; 15 552    
2006;1275;RETAIL;SWEDEN; 308 473    
2006;1276;CORPORATE;SWEDEN; 525 591    
2006;1277;RETAIL;SWEDEN; 416 385    
2006;1278;CORPORATE;SWEDEN; 700 734    
2006;1279;RETAIL;SWEDEN; 64 841    
2006;1280;CORPORATE;SWEDEN; 627 198    
2006;1281;RETAIL;INTERNATIONAL; 225 057    
2006;1282;CORPORATE;INTERNATIONAL; 309 893    
